game_name,drawing_date,number_drawn
Powerball,10/26/2013,6
Powerball,10/26/2013,4
Powerball,10/26/2013,34
Powerball,10/26/2013,49
Powerball,10/30/2013,54
Powerball,10/30/2013,2
Powerball,10/30/2013,49
Powerball,10/30/2013,36
Powerball,10/30/2013,40
Powerball,11/2/2013,27
Powerball,11/2/2013,40
Powerball,11/2/2013,13
Powerball,11/2/2013,23
Powerball,11/2/2013,24
Powerball,11/6/2013,49
Powerball,11/6/2013,1
Powerball,11/6/2013,5
Powerball,11/6/2013,10
Powerball,11/6/2013,15
Powerball,11/9/2013,37
Powerball,11/9/2013,56
Powerball,11/9/2013,3
Powerball,11/9/2013,49
Powerball,11/9/2013,9
Powerball,11/13/2013,31
Powerball,11/13/2013,5
Powerball,11/13/2013,55
Powerball,11/13/2013,50
Powerball,11/13/2013,56
Powerball,11/16/2013,29
Powerball,11/16/2013,37
Powerball,11/16/2013,59
Powerball,11/16/2013,10
Powerball,11/16/2013,44
Powerball,11/20/2013,32
Powerball,11/20/2013,4
Powerball,11/20/2013,45
Powerball,11/20/2013,23
Powerball,11/20/2013,18
Powerball,11/23/2013,12
Powerball,11/23/2013,52
Powerball,11/23/2013,55
Powerball,11/23/2013,43
Powerball,11/23/2013,5
Powerball,11/27/2013,57
