game_name,drawing_date,number_drawn
Mega Millions,7/5/2013,2
Mega Millions,7/9/2013,21
Mega Millions,7/9/2013,43
Mega Millions,7/9/2013,3
Mega Millions,7/9/2013,48
Mega Millions,7/9/2013,45
Mega Millions,7/12/2013,5
Mega Millions,7/12/2013,27
Mega Millions,7/12/2013,51
Mega Millions,7/12/2013,25
Mega Millions,7/12/2013,4
Mega Millions,7/16/2013,14
Mega Millions,7/16/2013,53
Mega Millions,7/16/2013,21
Mega Millions,7/16/2013,40
Mega Millions,7/16/2013,10
Mega Millions,7/19/2013,16
Mega Millions,7/19/2013,24
Mega Millions,7/19/2013,39
Mega Millions,7/19/2013,20
Mega Millions,7/19/2013,42
Mega Millions,7/23/2013,51
Mega Millions,7/23/2013,32
Mega Millions,7/23/2013,25
Mega Millions,7/23/2013,50
Mega Millions,7/23/2013,35
Mega Millions,7/26/2013,22
Mega Millions,7/26/2013,4
Mega Millions,7/26/2013,27
Mega Millions,7/26/2013,23
Mega Millions,7/26/2013,38
Mega Millions,7/30/2013,25
Mega Millions,7/30/2013,27
Mega Millions,7/30/2013,44
Mega Millions,7/30/2013,42
Mega Millions,7/30/2013,36
Mega Millions,8/2/2013,39
Mega Millions,8/2/2013,8
Mega Millions,8/2/2013,21
Mega Millions,8/2/2013,23
Mega Millions,8/2/2013,25
Mega Millions,8/6/2013,11
Mega Millions,8/6/2013,51
Mega Millions,8/6/2013,55
Mega Millions,8/6/2013,1
Mega Millions,8/6/2013,16
Mega Millions,8/9/2013,34
Mega Millions,8/9/2013,11
Mega Millions,8/9/2013,38
Mega Millions,8/9/2013,30
Mega Millions,8/9/2013,20
Mega Millions,8/13/2013,2
Mega Millions,8/13/2013,41
Mega Millions,8/13/2013,37
Mega Millions,8/13/2013,31
Mega Millions,8/13/2013,32
Mega Millions,8/16/2013,13
Mega Millions,8/16/2013,26
Mega Millions,8/16/2013,46
Mega Millions,8/16/2013,7
Mega Millions,8/16/2013,36
Mega Millions,8/20/2013,13
Mega Millions,8/20/2013,35
Mega Millions,8/20/2013,38
Mega Millions,8/20/2013,28
Mega Millions,8/20/2013,41
Mega Millions,8/23/2013,1
Mega Millions,8/23/2013,53
Mega Millions,8/23/2013,17
Mega Millions,8/23/2013,20
Mega Millions,8/23/2013,9
Mega Millions,8/27/2013,7
Mega Millions,8/27/2013,4
Mega Millions,8/27/2013,36
Mega Millions,8/27/2013,38
Mega Millions,8/27/2013,30
Mega Millions,8/30/2013,6
Mega Millions,8/30/2013,43
